year,month,day,date,hour,consumption
2012,4,5,2012-04-05,23,25
2012,4,6,2012-04-06,0,125
2012,4,6,2012-04-06,1,25
2012,4,6,2012-04-06,2,0
2012,4,6,2012-04-06,3,0
2012,4,6,2012-04-06,4,0
2012,4,6,2012-04-06,5,0
2012,4,6,2012-04-06,6,225
2012,4,6,2012-04-06,7,50
2012,4,6,2012-04-06,8,225
2012,4,6,2012-04-06,9,375
2012,4,6,2012-04-06,10,550
2012,4,6,2012-04-06,11,450
2012,4,6,2012-04-06,12,0
2012,4,6,2012-04-06,13,0
2012,4,6,2012-04-06,14,0
2012,4,6,2012-04-06,15,0
2012,4,6,2012-04-06,16,0
2012,4,6,2012-04-06,17,0
2012,4,6,2012-04-06,18,0
2012,4,6,2012-04-06,19,0
2012,4,6,2012-04-06,20,0
2012,4,6,2012-04-06,21,0
2012,4,6,2012-04-06,22,0
2012,4,6,2012-04-06,23,150
2012,4,7,2012-04-07,0,125
2012,4,7,2012-04-07,1,0
2012,4,7,2012-04-07,2,0
2012,4,7,2012-04-07,3,25
2012,4,7,2012-04-07,4,0
2012,4,7,2012-04-07,5,0
2012,4,7,2012-04-07,6,25
2012,4,7,2012-04-07,7,525
2012,4,7,2012-04-07,8,125
2012,4,7,2012-04-07,9,500
2012,4,7,2012-04-07,10,325
2012,4,7,2012-04-07,11,0
2012,4,7,2012-04-07,12,425
2012,4,7,2012-04-07,13,0
2012,4,7,2012-04-07,14,25
2012,4,7,2012-04-07,15,0
2012,4,7,2012-04-07,16,0
2012,4,7,2012-04-07,17,0
2012,4,7,2012-04-07,18,0
2012,4,7,2012-04-07,19,0
2012,4,7,2012-04-07,20,0
2012,4,7,2012-04-07,21,0
2012,4,7,2012-04-07,22,50
2012,4,7,2012-04-07,23,100
2012,4,8,2012-04-08,0,0
2012,4,8,2012-04-08,1,0
2012,4,8,2012-04-08,2,0
2012,4,8,2012-04-08,3,0
2012,4,8,2012-04-08,4,0
2012,4,8,2012-04-08,5,0
2012,4,8,2012-04-08,6,25
2012,4,8,2012-04-08,7,0
2012,4,8,2012-04-08,8,75
2012,4,8,2012-04-08,9,100
2012,4,8,2012-04-08,10,400
2012,4,8,2012-04-08,11,625
2012,4,8,2012-04-08,12,0
2012,4,8,2012-04-08,13,0
2012,4,8,2012-04-08,14,25
2012,4,8,2012-04-08,15,0
2012,4,8,2012-04-08,16,0
2012,4,8,2012-04-08,17,0
2012,4,8,2012-04-08,18,0
2012,4,8,2012-04-08,19,0
2012,4,8,2012-04-08,20,0
2012,4,8,2012-04-08,21,0
2012,4,8,2012-04-08,22,0
2012,4,8,2012-04-08,23,0
2012,4,9,2012-04-09,0,50
2012,4,9,2012-04-09,1,350
2012,4,9,2012-04-09,2,0
2012,4,9,2012-04-09,3,0
2012,4,9,2012-04-09,4,0
2012,4,9,2012-04-09,5,0
2012,4,9,2012-04-09,6,0
2012,4,9,2012-04-09,7,0
2012,4,9,2012-04-09,8,0
2012,4,9,2012-04-09,9,0
2012,4,9,2012-04-09,10,125
2012,4,9,2012-04-09,11,375
2012,4,9,2012-04-09,12,600
2012,4,9,2012-04-09,13,0
2012,4,9,2012-04-09,14,0
2012,4,9,2012-04-09,15,0
2012,4,9,2012-04-09,16,0
2012,4,9,2012-04-09,17,0
2012,4,9,2012-04-09,18,0
2012,4,9,2012-04-09,19,0
2012,4,9,2012-04-09,20,0
2012,4,9,2012-04-09,21,0
2012,4,9,2012-04-09,22,0
2012,4,9,2012-04-09,23,0
2012,4,10,2012-04-10,0,0
2012,4,10,2012-04-10,1,125
2012,4,10,2012-04-10,2,25
2012,4,10,2012-04-10,3,0
2012,4,10,2012-04-10,4,25
2012,4,10,2012-04-10,5,100
2012,4,10,2012-04-10,6,0
2012,4,10,2012-04-10,7,225
2012,4,10,2012-04-10,8,150
2012,4,10,2012-04-10,9,25
2012,4,10,2012-04-10,10,400
2012,4,10,2012-04-10,11,275
2012,4,10,2012-04-10,12,525
2012,4,10,2012-04-10,13,125
2012,4,10,2012-04-10,14,200
2012,4,10,2012-04-10,15,25
2012,4,10,2012-04-10,16,0
2012,4,10,2012-04-10,17,0
2012,4,10,2012-04-10,18,0
2012,4,10,2012-04-10,19,0
2012,4,10,2012-04-10,20,0
2012,4,10,2012-04-10,21,0
2012,4,10,2012-04-10,22,0
2012,4,10,2012-04-10,23,275
2012,4,11,2012-04-11,0,0
2012,4,11,2012-04-11,1,50
2012,4,11,2012-04-11,2,100
2012,4,11,2012-04-11,3,275
2012,4,11,2012-04-11,4,0
2012,4,11,2012-04-11,5,25
2012,4,11,2012-04-11,6,50
2012,4,11,2012-04-11,7,200
2012,4,11,2012-04-11,8,500
2012,4,11,2012-04-11,9,325
2012,4,11,2012-04-11,10,325
2012,4,11,2012-04-11,11,525
2012,4,11,2012-04-11,12,350
2012,4,11,2012-04-11,13,0
2012,4,11,2012-04-11,14,25
2012,4,11,2012-04-11,15,0
2012,4,11,2012-04-11,16,0
2012,4,11,2012-04-11,17,0
2012,4,11,2012-04-11,18,0
2012,4,11,2012-04-11,19,0
2012,4,11,2012-04-11,20,0
2012,4,11,2012-04-11,21,75
2012,4,11,2012-04-11,22,0
2012,4,11,2012-04-11,23,125
2012,4,12,2012-04-12,0,25
2012,4,12,2012-04-12,1,0
2012,4,12,2012-04-12,2,25
2012,4,12,2012-04-12,3,0
2012,4,12,2012-04-12,4,0
2012,4,12,2012-04-12,5,0
2012,4,12,2012-04-12,6,100
2012,4,12,2012-04-12,7,350
2012,4,12,2012-04-12,8,150
2012,4,12,2012-04-12,9,400
2012,4,12,2012-04-12,10,175
2012,4,12,2012-04-12,11,625
2012,4,12,2012-04-12,12,100
2012,4,12,2012-04-12,13,300
2012,4,12,2012-04-12,14,0
2012,4,12,2012-04-12,15,0
2012,4,12,2012-04-12,16,0
2012,4,12,2012-04-12,17,0
2012,4,12,2012-04-12,18,0
2012,4,12,2012-04-12,19,0
2012,4,12,2012-04-12,20,0
2012,4,12,2012-04-12,21,100
2012,4,12,2012-04-12,22,0
2012,4,12,2012-04-12,23,0
2012,4,13,2012-04-13,0,100
2012,4,13,2012-04-13,1,100
2012,4,13,2012-04-13,2,0
2012,4,13,2012-04-13,3,0
2012,4,13,2012-04-13,4,0
2012,4,13,2012-04-13,5,50
2012,4,13,2012-04-13,6,0
2012,4,13,2012-04-13,7,50
2012,4,13,2012-04-13,8,350
2012,4,13,2012-04-13,9,25
2012,4,13,2012-04-13,10,400
2012,4,13,2012-04-13,11,725
2012,4,13,2012-04-13,12,175
2012,4,13,2012-04-13,13,50
2012,4,13,2012-04-13,14,0
2012,4,13,2012-04-13,15,0
2012,4,13,2012-04-13,16,0
2012,4,13,2012-04-13,17,0
2012,4,13,2012-04-13,18,0
2012,4,13,2012-04-13,19,0
2012,4,13,2012-04-13,20,0
2012,4,13,2012-04-13,21,75
2012,4,13,2012-04-13,22,0
2012,4,13,2012-04-13,23,0
2012,4,14,2012-04-14,0,75
2012,4,14,2012-04-14,1,100
2012,4,14,2012-04-14,2,25
2012,4,14,2012-04-14,3,50
2012,4,14,2012-04-14,4,0
2012,4,14,2012-04-14,5,0
2012,4,14,2012-04-14,6,50
2012,4,14,2012-04-14,7,25
2012,4,14,2012-04-14,8,425
2012,4,14,2012-04-14,9,25
2012,4,14,2012-04-14,10,375
2012,4,14,2012-04-14,11,100
2012,4,14,2012-04-14,12,825
2012,4,14,2012-04-14,13,50
2012,4,14,2012-04-14,14,0
2012,4,14,2012-04-14,15,0
2012,4,14,2012-04-14,16,0
2012,4,14,2012-04-14,17,0
2012,4,14,2012-04-14,18,0
2012,4,14,2012-04-14,19,0
2012,4,14,2012-04-14,20,0
2012,4,14,2012-04-14,21,0
2012,4,14,2012-04-14,22,0
2012,4,14,2012-04-14,23,175
2012,4,15,2012-04-15,0,0
2012,4,15,2012-04-15,1,25
2012,4,15,2012-04-15,2,50
2012,4,15,2012-04-15,3,75
2012,4,15,2012-04-15,4,25
2012,4,15,2012-04-15,5,0
2012,4,15,2012-04-15,6,25
2012,4,15,2012-04-15,7,0
2012,4,15,2012-04-15,8,175
2012,4,15,2012-04-15,9,0
2012,4,15,2012-04-15,10,25
2012,4,15,2012-04-15,11,0
2012,4,15,2012-04-15,12,550
2012,4,15,2012-04-15,13,0
2012,4,15,2012-04-15,14,0
2012,4,15,2012-04-15,15,0
2012,4,15,2012-04-15,16,50
2012,4,15,2012-04-15,17,0
2012,4,15,2012-04-15,18,0
2012,4,15,2012-04-15,19,0
2012,4,15,2012-04-15,20,0
2012,4,15,2012-04-15,21,0
2012,4,15,2012-04-15,22,0
2012,4,15,2012-04-15,23,350
2012,4,16,2012-04-16,0,625
2012,4,16,2012-04-16,1,125
2012,4,16,2012-04-16,2,50
2012,4,16,2012-04-16,3,75
2012,4,16,2012-04-16,4,325
2012,4,16,2012-04-16,5,125
2012,4,16,2012-04-16,6,0
2012,4,16,2012-04-16,7,0
2012,4,16,2012-04-16,8,0
2012,4,16,2012-04-16,9,0
2012,4,16,2012-04-16,10,250
2012,4,16,2012-04-16,11,325
2012,4,16,2012-04-16,12,450
2012,4,16,2012-04-16,13,0
2012,4,16,2012-04-16,14,75
2012,4,16,2012-04-16,15,0
2012,4,16,2012-04-16,16,0
2012,4,16,2012-04-16,17,0
2012,4,16,2012-04-16,18,0
2012,4,16,2012-04-16,19,0
2012,4,16,2012-04-16,20,0
2012,4,16,2012-04-16,21,100
2012,4,16,2012-04-16,22,0
2012,4,16,2012-04-16,23,0
2012,4,17,2012-04-17,0,0
2012,4,17,2012-04-17,1,100
2012,4,17,2012-04-17,2,50
2012,4,17,2012-04-17,3,0
2012,4,17,2012-04-17,4,25
2012,4,17,2012-04-17,5,0
2012,4,17,2012-04-17,6,75
2012,4,17,2012-04-17,7,50
2012,4,17,2012-04-17,8,575
2012,4,17,2012-04-17,9,25
2012,4,17,2012-04-17,10,575
2012,4,17,2012-04-17,11,375
2012,4,17,2012-04-17,12,0
2012,4,17,2012-04-17,13,25
2012,4,17,2012-04-17,14,50
2012,4,17,2012-04-17,15,0
2012,4,17,2012-04-17,16,0
2012,4,17,2012-04-17,17,0
2012,4,17,2012-04-17,18,0
2012,4,17,2012-04-17,19,0
2012,4,17,2012-04-17,20,0
2012,4,17,2012-04-17,21,75
2012,4,17,2012-04-17,22,0
2012,4,17,2012-04-17,23,175
2012,4,18,2012-04-18,0,25
2012,4,18,2012-04-18,1,50
2012,4,18,2012-04-18,2,50
2012,4,18,2012-04-18,3,0
2012,4,18,2012-04-18,4,100
2012,4,18,2012-04-18,5,0
2012,4,18,2012-04-18,6,50
2012,4,18,2012-04-18,7,175
2012,4,18,2012-04-18,8,325
2012,4,18,2012-04-18,9,100
2012,4,18,2012-04-18,10,400
2012,4,18,2012-04-18,11,925
2012,4,18,2012-04-18,12,75
2012,4,18,2012-04-18,13,0
2012,4,18,2012-04-18,14,0
2012,4,18,2012-04-18,15,0
2012,4,18,2012-04-18,16,0
2012,4,18,2012-04-18,17,0
2012,4,18,2012-04-18,18,25
2012,4,18,2012-04-18,19,0
2012,4,18,2012-04-18,20,0
2012,4,18,2012-04-18,21,75
2012,4,18,2012-04-18,22,0
2012,4,18,2012-04-18,23,0
2012,4,19,2012-04-19,0,125
2012,4,19,2012-04-19,1,150
2012,4,19,2012-04-19,2,350
2012,4,19,2012-04-19,3,0
2012,4,19,2012-04-19,4,150
2012,4,19,2012-04-19,5,0
2012,4,19,2012-04-19,6,100
2012,4,19,2012-04-19,7,225
2012,4,19,2012-04-19,8,700
2012,4,19,2012-04-19,9,0
2012,4,19,2012-04-19,10,25
2012,4,19,2012-04-19,11,25
2012,4,19,2012-04-19,12,0
2012,4,19,2012-04-19,13,350
2012,4,19,2012-04-19,14,475
2012,4,19,2012-04-19,15,0
2012,4,19,2012-04-19,16,0
2012,4,19,2012-04-19,17,0
2012,4,19,2012-04-19,18,0
2012,4,19,2012-04-19,19,0
2012,4,19,2012-04-19,20,0
2012,4,19,2012-04-19,21,50
2012,4,19,2012-04-19,22,0
2012,4,19,2012-04-19,23,25
2012,4,20,2012-04-20,0,125
2012,4,20,2012-04-20,1,25
2012,4,20,2012-04-20,2,25
2012,4,20,2012-04-20,3,0
2012,4,20,2012-04-20,4,0
2012,4,20,2012-04-20,5,0
2012,4,20,2012-04-20,6,50
2012,4,20,2012-04-20,7,25
2012,4,20,2012-04-20,8,275
2012,4,20,2012-04-20,9,0
2012,4,20,2012-04-20,10,375
2012,4,20,2012-04-20,11,0
2012,4,20,2012-04-20,12,250
2012,4,20,2012-04-20,13,350
2012,4,20,2012-04-20,14,0
2012,4,20,2012-04-20,15,0
2012,4,20,2012-04-20,16,0
2012,4,20,2012-04-20,17,0
2012,4,20,2012-04-20,18,0
2012,4,20,2012-04-20,19,0
2012,4,20,2012-04-20,20,0
2012,4,20,2012-04-20,21,100
2012,4,20,2012-04-20,22,0
2012,4,20,2012-04-20,23,25
2012,4,21,2012-04-21,0,50
2012,4,21,2012-04-21,1,25
2012,4,21,2012-04-21,2,125
2012,4,21,2012-04-21,3,25
2012,4,21,2012-04-21,4,0
2012,4,21,2012-04-21,5,0
2012,4,21,2012-04-21,6,50
2012,4,21,2012-04-21,7,25
2012,4,21,2012-04-21,8,50
2012,4,21,2012-04-21,9,75
2012,4,21,2012-04-21,10,350
2012,4,21,2012-04-21,11,125
2012,4,21,2012-04-21,12,1025
2012,4,21,2012-04-21,13,25
2012,4,21,2012-04-21,14,0
2012,4,21,2012-04-21,15,0
2012,4,21,2012-04-21,16,0
2012,4,21,2012-04-21,17,0
2012,4,21,2012-04-21,18,0
2012,4,21,2012-04-21,19,0
2012,4,21,2012-04-21,20,0
2012,4,21,2012-04-21,21,0
2012,4,21,2012-04-21,22,0
2012,4,21,2012-04-21,23,100
2012,4,22,2012-04-22,0,125
2012,4,22,2012-04-22,1,0
2012,4,22,2012-04-22,2,50
2012,4,22,2012-04-22,3,375
2012,4,22,2012-04-22,4,25
2012,4,22,2012-04-22,5,50
2012,4,22,2012-04-22,6,150
2012,4,22,2012-04-22,7,350
2012,4,22,2012-04-22,8,200
2012,4,22,2012-04-22,9,75
2012,4,22,2012-04-22,10,675
2012,4,22,2012-04-22,11,500
2012,4,22,2012-04-22,12,0
2012,4,22,2012-04-22,13,0
2012,4,22,2012-04-22,14,25
2012,4,22,2012-04-22,15,0
2012,4,22,2012-04-22,16,50
2012,4,22,2012-04-22,17,0
2012,4,22,2012-04-22,18,0
2012,4,22,2012-04-22,19,0
2012,4,22,2012-04-22,20,0
2012,4,22,2012-04-22,21,0
2012,4,22,2012-04-22,22,0
2012,4,22,2012-04-22,23,0
2012,4,23,2012-04-23,0,125
2012,4,23,2012-04-23,1,25
2012,4,23,2012-04-23,2,50
2012,4,23,2012-04-23,3,325
2012,4,23,2012-04-23,4,100
2012,4,23,2012-04-23,5,50
2012,4,23,2012-04-23,6,25
2012,4,23,2012-04-23,7,0
2012,4,23,2012-04-23,8,50
2012,4,23,2012-04-23,9,100
2012,4,23,2012-04-23,10,350
2012,4,23,2012-04-23,11,350
2012,4,23,2012-04-23,12,150
2012,4,23,2012-04-23,13,375
2012,4,23,2012-04-23,14,0
2012,4,23,2012-04-23,15,0
2012,4,23,2012-04-23,16,0
2012,4,23,2012-04-23,17,0
2012,4,23,2012-04-23,18,0
2012,4,23,2012-04-23,19,0
2012,4,23,2012-04-23,20,0
2012,4,23,2012-04-23,21,50
2012,4,23,2012-04-23,22,0
2012,4,23,2012-04-23,23,0
2012,4,24,2012-04-24,0,125
2012,4,24,2012-04-24,1,100
2012,4,24,2012-04-24,2,175
2012,4,24,2012-04-24,3,0
2012,4,24,2012-04-24,4,0
2012,4,24,2012-04-24,5,25
2012,4,24,2012-04-24,6,25
2012,4,24,2012-04-24,7,25
2012,4,24,2012-04-24,8,275
2012,4,24,2012-04-24,9,100
2012,4,24,2012-04-24,10,375
2012,4,24,2012-04-24,11,475
2012,4,24,2012-04-24,12,675
2012,4,24,2012-04-24,13,0
2012,4,24,2012-04-24,14,0
2012,4,24,2012-04-24,15,0
2012,4,24,2012-04-24,16,0
2012,4,24,2012-04-24,17,0
2012,4,24,2012-04-24,18,0
2012,4,24,2012-04-24,19,0
2012,4,24,2012-04-24,20,0
2012,4,24,2012-04-24,21,75
2012,4,24,2012-04-24,22,50
2012,4,24,2012-04-24,23,0
2012,4,25,2012-04-25,0,25
2012,4,25,2012-04-25,1,0
2012,4,25,2012-04-25,2,0
2012,4,25,2012-04-25,3,0
2012,4,25,2012-04-25,4,0
2012,4,25,2012-04-25,5,0
2012,4,25,2012-04-25,6,0
2012,4,25,2012-04-25,7,175
2012,4,25,2012-04-25,8,75
2012,4,25,2012-04-25,9,425
2012,4,25,2012-04-25,10,75
2012,4,25,2012-04-25,11,1075
2012,4,25,2012-04-25,12,200
2012,4,25,2012-04-25,13,0
2012,4,25,2012-04-25,14,0
2012,4,25,2012-04-25,15,0
2012,4,25,2012-04-25,16,0
2012,4,25,2012-04-25,17,0
2012,4,25,2012-04-25,18,0
2012,4,25,2012-04-25,19,0
2012,4,25,2012-04-25,20,0
2012,4,25,2012-04-25,21,50
2012,4,25,2012-04-25,22,25
2012,4,25,2012-04-25,23,0
2012,4,26,2012-04-26,0,50
2012,4,26,2012-04-26,1,0
2012,4,26,2012-04-26,2,0
2012,4,26,2012-04-26,3,0
2012,4,26,2012-04-26,4,0
2012,4,26,2012-04-26,5,0
2012,4,26,2012-04-26,6,50
2012,4,26,2012-04-26,7,25
2012,4,26,2012-04-26,8,25
2012,4,26,2012-04-26,9,50
2012,4,26,2012-04-26,10,250
2012,4,26,2012-04-26,11,225
2012,4,26,2012-04-26,12,700
2012,4,26,2012-04-26,13,0
2012,4,26,2012-04-26,14,25
2012,4,26,2012-04-26,15,0
2012,4,26,2012-04-26,16,0
2012,4,26,2012-04-26,17,0
2012,4,26,2012-04-26,18,0
2012,4,26,2012-04-26,19,0
2012,4,26,2012-04-26,20,0
2012,4,26,2012-04-26,21,50
2012,4,26,2012-04-26,22,0
2012,4,26,2012-04-26,23,25
2012,4,27,2012-04-27,0,100
2012,4,27,2012-04-27,1,150
2012,4,27,2012-04-27,2,0
2012,4,27,2012-04-27,3,0
2012,4,27,2012-04-27,4,0
2012,4,27,2012-04-27,5,0
2012,4,27,2012-04-27,6,75
2012,4,27,2012-04-27,7,25
2012,4,27,2012-04-27,8,250
2012,4,27,2012-04-27,9,0
2012,4,27,2012-04-27,10,100
2012,4,27,2012-04-27,11,300
2012,4,27,2012-04-27,12,725
2012,4,27,2012-04-27,13,0
2012,4,27,2012-04-27,14,0
2012,4,27,2012-04-27,15,0
2012,4,27,2012-04-27,16,0
2012,4,27,2012-04-27,17,0
2012,4,27,2012-04-27,18,0
2012,4,27,2012-04-27,19,0
2012,4,27,2012-04-27,20,0
2012,4,27,2012-04-27,21,50
2012,4,27,2012-04-27,22,0
2012,4,27,2012-04-27,23,25
2012,4,28,2012-04-28,0,75
2012,4,28,2012-04-28,1,200
2012,4,28,2012-04-28,2,0
2012,4,28,2012-04-28,3,0
2012,4,28,2012-04-28,4,0
2012,4,28,2012-04-28,5,0
2012,4,28,2012-04-28,6,50
2012,4,28,2012-04-28,7,0
2012,4,28,2012-04-28,8,275
2012,4,28,2012-04-28,9,100
2012,4,28,2012-04-28,10,0
2012,4,28,2012-04-28,11,325
2012,4,28,2012-04-28,12,450
2012,4,28,2012-04-28,13,350
2012,4,28,2012-04-28,14,0
2012,4,28,2012-04-28,15,0
2012,4,28,2012-04-28,16,0
2012,4,28,2012-04-28,17,0
2012,4,28,2012-04-28,18,0
2012,4,28,2012-04-28,19,0
2012,4,28,2012-04-28,20,50
2012,4,28,2012-04-28,21,0
2012,4,28,2012-04-28,22,0
2012,4,28,2012-04-28,23,25
2012,4,29,2012-04-29,0,175
2012,4,29,2012-04-29,1,375
2012,4,29,2012-04-29,2,0
2012,4,29,2012-04-29,3,50
2012,4,29,2012-04-29,4,150
2012,4,29,2012-04-29,5,0
2012,4,29,2012-04-29,6,0
2012,4,29,2012-04-29,7,0
2012,4,29,2012-04-29,8,175
2012,4,29,2012-04-29,9,50
2012,4,29,2012-04-29,10,575
2012,4,29,2012-04-29,11,600
2012,4,29,2012-04-29,12,50
2012,4,29,2012-04-29,13,0
2012,4,29,2012-04-29,14,0
2012,4,29,2012-04-29,15,0
2012,4,29,2012-04-29,16,0
2012,4,29,2012-04-29,17,0
2012,4,29,2012-04-29,18,0
2012,4,29,2012-04-29,19,0
2012,4,29,2012-04-29,20,0
2012,4,29,2012-04-29,21,0
2012,4,29,2012-04-29,22,0
2012,4,29,2012-04-29,23,75
2012,4,30,2012-04-30,0,50
2012,4,30,2012-04-30,1,25
2012,4,30,2012-04-30,2,0
2012,4,30,2012-04-30,3,50
2012,4,30,2012-04-30,4,275
2012,4,30,2012-04-30,5,125
2012,4,30,2012-04-30,6,0
2012,4,30,2012-04-30,7,0
2012,4,30,2012-04-30,8,0
2012,4,30,2012-04-30,9,0
2012,4,30,2012-04-30,10,275
2012,4,30,2012-04-30,11,550
2012,4,30,2012-04-30,12,0
2012,4,30,2012-04-30,13,0
2012,4,30,2012-04-30,14,0
2012,4,30,2012-04-30,15,75
2012,4,30,2012-04-30,16,0
2012,4,30,2012-04-30,17,0
2012,4,30,2012-04-30,18,0
2012,4,30,2012-04-30,19,0
2012,4,30,2012-04-30,20,0
2012,4,30,2012-04-30,21,0
2012,4,30,2012-04-30,22,0
2012,4,30,2012-04-30,23,50
2012,5,1,2012-05-01,0,150
2012,5,1,2012-05-01,1,125
2012,5,1,2012-05-01,2,100
2012,5,1,2012-05-01,3,100
2012,5,1,2012-05-01,4,0
2012,5,1,2012-05-01,5,0
2012,5,1,2012-05-01,6,0
2012,5,1,2012-05-01,7,25
2012,5,1,2012-05-01,8,275
2012,5,1,2012-05-01,9,625
2012,5,1,2012-05-01,10,900
2012,5,1,2012-05-01,11,25
2012,5,1,2012-05-01,12,300
2012,5,1,2012-05-01,13,500
2012,5,1,2012-05-01,14,0
2012,5,1,2012-05-01,15,0
2012,5,1,2012-05-01,16,0
2012,5,1,2012-05-01,17,0
2012,5,1,2012-05-01,18,0
2012,5,1,2012-05-01,19,0
2012,5,1,2012-05-01,20,0
2012,5,1,2012-05-01,21,75
2012,5,1,2012-05-01,22,0
2012,5,1,2012-05-01,23,50
2012,5,2,2012-05-02,0,25
2012,5,2,2012-05-02,1,0
2012,5,2,2012-05-02,2,0
2012,5,2,2012-05-02,3,0
2012,5,2,2012-05-02,4,0
2012,5,2,2012-05-02,5,0
2012,5,2,2012-05-02,6,50
2012,5,2,2012-05-02,7,0
2012,5,2,2012-05-02,8,0
2012,5,2,2012-05-02,9,0
2012,5,2,2012-05-02,10,0
2012,5,2,2012-05-02,11,0
2012,5,2,2012-05-02,12,275
2012,5,2,2012-05-02,13,0
2012,5,2,2012-05-02,14,0
2012,5,2,2012-05-02,15,0
2012,5,2,2012-05-02,16,0
2012,5,2,2012-05-02,17,0
2012,5,2,2012-05-02,18,0
2012,5,2,2012-05-02,19,0
2012,5,2,2012-05-02,20,0
2012,5,2,2012-05-02,21,0
2012,5,2,2012-05-02,22,25
2012,5,2,2012-05-02,23,100
2012,5,3,2012-05-03,0,25
2012,5,3,2012-05-03,1,0
2012,5,3,2012-05-03,2,0
2012,5,3,2012-05-03,3,0
2012,5,3,2012-05-03,4,0
2012,5,3,2012-05-03,5,0
2012,5,3,2012-05-03,6,0
2012,5,3,2012-05-03,7,0
2012,5,3,2012-05-03,8,0
2012,5,3,2012-05-03,9,100
2012,5,3,2012-05-03,10,0
2012,5,3,2012-05-03,11,350
2012,5,3,2012-05-03,12,0
2012,5,3,2012-05-03,13,0
2012,5,3,2012-05-03,14,0
2012,5,3,2012-05-03,15,0
2012,5,3,2012-05-03,16,0
2012,5,3,2012-05-03,17,0
2012,5,3,2012-05-03,18,0
2012,5,3,2012-05-03,19,0
2012,5,3,2012-05-03,20,0
2012,5,3,2012-05-03,21,0
2012,5,3,2012-05-03,22,0
