year,month,day,date,consumption
2012,8,6,2012-08-06,30.213
2012,8,7,2012-08-07,25.526
2012,8,8,2012-08-08,25.286
2012,8,9,2012-08-09,21.923
2012,8,10,2012-08-10,26.638
2012,8,11,2012-08-11,23.535
2012,8,12,2012-08-12,24.603
2012,8,13,2012-08-13,25.01
2012,8,14,2012-08-14,23.423
2012,8,15,2012-08-15,29.23
2012,8,16,2012-08-16,40.511
2012,8,17,2012-08-17,30.147
2012,8,18,2012-08-18,30.82
2012,8,19,2012-08-19,25.457
2012,8,20,2012-08-20,25.059
2012,8,21,2012-08-21,24.47
2012,8,22,2012-08-22,21.166
2012,8,23,2012-08-23,21.168
2012,8,24,2012-08-24,29.004
2012,8,25,2012-08-25,20.931
2012,8,26,2012-08-26,28.025
2012,8,27,2012-08-27,27.193
2012,8,28,2012-08-28,24.708
2012,8,29,2012-08-29,23.353
2012,8,30,2012-08-30,24.703
2012,8,31,2012-08-31,20.567
2012,9,1,2012-09-01,24.665
2012,9,2,2012-09-02,23.088
2012,9,3,2012-09-03,27.857
2012,9,4,2012-09-04,23.792
2012,9,5,2012-09-05,26.538
2012,9,6,2012-09-06,22.208
2012,9,7,2012-09-07,29.918
2012,9,8,2012-09-08,21.285
2012,9,9,2012-09-09,19.896
2012,9,10,2012-09-10,23.464
2012,9,11,2012-09-11,23.62
2012,9,12,2012-09-12,25.272
2012,9,13,2012-09-13,22.251
2012,9,14,2012-09-14,22.124
2012,9,15,2012-09-15,24.84
2012,9,16,2012-09-16,26.02
2012,9,17,2012-09-17,28.431
2012,9,18,2012-09-18,23.782
2012,9,19,2012-09-19,21.745
2012,9,20,2012-09-20,25.529
2012,9,21,2012-09-21,24.215
2012,9,22,2012-09-22,22.703
2012,9,23,2012-09-23,21.57
2012,9,24,2012-09-24,24.481
2012,9,25,2012-09-25,22.934
2012,9,26,2012-09-26,22.352
2012,9,27,2012-09-27,20.252
2012,9,28,2012-09-28,25.166
2012,9,29,2012-09-29,26.041
2012,9,30,2012-09-30,24.515
2012,10,1,2012-10-01,30.796
2012,10,2,2012-10-02,24.441
2012,10,3,2012-10-03,25.43
2012,10,4,2012-10-04,21.9
2012,10,5,2012-10-05,23.374
2012,10,6,2012-10-06,20.505
2012,10,7,2012-10-07,26.403
2012,10,8,2012-10-08,23.068
2012,10,9,2012-10-09,31.551
2012,10,10,2012-10-10,21.964
2012,10,11,2012-10-11,30.721
2012,10,12,2012-10-12,27.348
2012,10,13,2012-10-13,24.879
2012,10,14,2012-10-14,32.092
2012,10,15,2012-10-15,28.991
2012,10,16,2012-10-16,30.493
2012,10,17,2012-10-17,29.757
2012,10,18,2012-10-18,28.002
2012,10,19,2012-10-19,30.118
2012,10,20,2012-10-20,29.854
2012,10,21,2012-10-21,42.723
2012,10,22,2012-10-22,38.987
2012,10,23,2012-10-23,33.683
2012,10,24,2012-10-24,35.873
2012,10,25,2012-10-25,39.042
2012,10,26,2012-10-26,29.105
2012,10,27,2012-10-27,34.069
2012,10,28,2012-10-28,34.716
2012,10,29,2012-10-29,32.127
2012,10,30,2012-10-30,34.83
2012,10,31,2012-10-31,26.555
2012,11,1,2012-11-01,34.778
2012,11,2,2012-11-02,26.479
2012,11,3,2012-11-03,28.867
2012,11,4,2012-11-04,36.645
2012,11,5,2012-11-05,28.383
2012,11,6,2012-11-06,29.197
2012,11,7,2012-11-07,36.24
2012,11,8,2012-11-08,35.142
2012,11,9,2012-11-09,33.258
2012,11,10,2012-11-10,41.286
2012,11,11,2012-11-11,36.046
2012,11,12,2012-11-12,47.499
2012,11,13,2012-11-13,38.327
2012,11,14,2012-11-14,33.123
2012,11,15,2012-11-15,36.343
2012,11,16,2012-11-16,36.419
2012,11,17,2012-11-17,35.832
2012,11,18,2012-11-18,39.97
2012,11,19,2012-11-19,35.689
2012,11,20,2012-11-20,36.649
2012,11,21,2012-11-21,36.296
2012,11,22,2012-11-22,40.119
2012,11,23,2012-11-23,39.81
2012,11,24,2012-11-24,33.259
2012,11,25,2012-11-25,49.531
2012,11,26,2012-11-26,30.105
2012,11,27,2012-11-27,26.797
2012,11,28,2012-11-28,33.464
2012,11,29,2012-11-29,45.702
2012,11,30,2012-11-30,31.877
2012,12,1,2012-12-01,31.069
2012,12,2,2012-12-02,36.963
2012,12,3,2012-12-03,40.966
2012,12,4,2012-12-04,49.856
2012,12,5,2012-12-05,36.086
2012,12,6,2012-12-06,37.48
2012,12,7,2012-12-07,39.452
2012,12,8,2012-12-08,36.047
2012,12,9,2012-12-09,44.75
2012,12,10,2012-12-10,24.661
2012,12,11,2012-12-11,34.276
2012,12,12,2012-12-12,28.253
2012,12,13,2012-12-13,37.674
2012,12,14,2012-12-14,31.324
2012,12,15,2012-12-15,20.492
2012,12,16,2012-12-16,26.944
2012,12,17,2012-12-17,26.144
2012,12,18,2012-12-18,36.033
2012,12,19,2012-12-19,28.201
2012,12,20,2012-12-20,33.061
2012,12,21,2012-12-21,42.294
2012,12,22,2012-12-22,28.482
2012,12,23,2012-12-23,29.298
2012,12,24,2012-12-24,29.77
2012,12,25,2012-12-25,20.235
2012,12,26,2012-12-26,29.296
2012,12,27,2012-12-27,28.745
2012,12,28,2012-12-28,34.63
2012,12,29,2012-12-29,33.42
2012,12,30,2012-12-30,28.147
2012,12,31,2012-12-31,26.713
2013,1,1,2013-01-01,30.081
2013,1,2,2013-01-02,26.931
2013,1,3,2013-01-03,32.024
2013,1,4,2013-01-04,31.667
2013,1,5,2013-01-05,40.861
2013,1,6,2013-01-06,37.325
2013,1,7,2013-01-07,32.387
2013,1,8,2013-01-08,31.316
2013,1,9,2013-01-09,38.861
2013,1,10,2013-01-10,35.745
2013,1,11,2013-01-11,29.714
2013,1,12,2013-01-12,22.722
2013,1,13,2013-01-13,26.81
2013,1,14,2013-01-14,34.593
2013,1,15,2013-01-15,29.995
2013,1,16,2013-01-16,33.915
2013,1,17,2013-01-17,30.238
2013,1,18,2013-01-18,27.474
2013,1,19,2013-01-19,26.027
2013,1,20,2013-01-20,32.975
2013,1,21,2013-01-21,33.737
2013,1,22,2013-01-22,33.366
2013,1,23,2013-01-23,29.581
2013,1,24,2013-01-24,41.216
2013,1,25,2013-01-25,37.615
2013,1,26,2013-01-26,35.739
2013,1,27,2013-01-27,27.059
2013,1,28,2013-01-28,35.58
2013,1,29,2013-01-29,36.312
2013,1,30,2013-01-30,30.285
2013,1,31,2013-01-31,39.688
2013,2,1,2013-02-01,42.017
2013,2,2,2013-02-02,30.432
2013,2,3,2013-02-03,28.31
2013,2,4,2013-02-04,43.073
2013,2,5,2013-02-05,37.757
2013,2,6,2013-02-06,37.641
2013,2,7,2013-02-07,42.697
2013,2,8,2013-02-08,36.43
2013,2,9,2013-02-09,31.949
2013,2,10,2013-02-10,34.155
2013,2,11,2013-02-11,30.216
2013,2,12,2013-02-12,41.073
2013,2,13,2013-02-13,40.433
2013,2,14,2013-02-14,36.375
2013,2,15,2013-02-15,34.22
2013,2,16,2013-02-16,39.519
2013,2,17,2013-02-17,37.035
2013,2,18,2013-02-18,35.484
2013,2,19,2013-02-19,30.325
2013,2,20,2013-02-20,30.336
2013,2,21,2013-02-21,31.145
2013,2,22,2013-02-22,31.213
2013,2,23,2013-02-23,33.392
2013,2,24,2013-02-24,37.524
2013,2,25,2013-02-25,44.387
2013,2,26,2013-02-26,36.112
2013,2,27,2013-02-27,34.78
2013,2,28,2013-02-28,34.216
2013,3,1,2013-03-01,35.822
2013,3,2,2013-03-02,40.728
2013,3,3,2013-03-03,33.498
2013,3,4,2013-03-04,30.916
2013,3,5,2013-03-05,28.034
2013,3,6,2013-03-06,39.049
2013,3,7,2013-03-07,38.942
2013,3,8,2013-03-08,36.496
2013,3,9,2013-03-09,29.169
2013,3,10,2013-03-10,39.246
2013,3,11,2013-03-11,37.516
2013,3,12,2013-03-12,37.396
2013,3,13,2013-03-13,38.037
2013,3,14,2013-03-14,30.759
2013,3,15,2013-03-15,35.738
2013,3,16,2013-03-16,33.757
2013,3,17,2013-03-17,31.506
2013,3,18,2013-03-18,30.795
2013,3,19,2013-03-19,27.864
2013,3,20,2013-03-20,40.535
2013,3,21,2013-03-21,33.79
2013,3,22,2013-03-22,27.008
2013,3,23,2013-03-23,31.884
2013,3,24,2013-03-24,28.371
2013,3,25,2013-03-25,28.495
2013,3,26,2013-03-26,31.969
2013,3,27,2013-03-27,32.721
2013,3,28,2013-03-28,31.184
2013,3,29,2013-03-29,28.399
2013,3,30,2013-03-30,31.109
2013,3,31,2013-03-31,37.547
2013,4,1,2013-04-01,28.931
2013,4,2,2013-04-02,25.025
2013,4,3,2013-04-03,29.728
2013,4,4,2013-04-04,26.497
2013,4,5,2013-04-05,35.478
2013,4,6,2013-04-06,33.108
2013,4,7,2013-04-07,35.958
2013,4,8,2013-04-08,37.377
2013,4,9,2013-04-09,30.661
2013,4,10,2013-04-10,31.586
2013,4,11,2013-04-11,26.441
2013,4,12,2013-04-12,29.116
2013,4,13,2013-04-13,27.831
2013,4,14,2013-04-14,41.448
2013,4,15,2013-04-15,33.467
2013,4,16,2013-04-16,29.338
2013,4,17,2013-04-17,30.106
2013,4,18,2013-04-18,27.337
2013,4,19,2013-04-19,35.095
2013,4,20,2013-04-20,31.719
2013,4,21,2013-04-21,34.821
2013,4,22,2013-04-22,31.245
2013,4,23,2013-04-23,30.331
2013,4,24,2013-04-24,27.391
2013,4,25,2013-04-25,26.791
2013,4,26,2013-04-26,24.974
2013,4,27,2013-04-27,25.052
2013,4,28,2013-04-28,28.09
2013,4,29,2013-04-29,30.389
2013,4,30,2013-04-30,36.218
2013,5,1,2013-05-01,24.889
2013,5,2,2013-05-02,26.769
2013,5,3,2013-05-03,29.835
2013,5,4,2013-05-04,25.9
2013,5,5,2013-05-05,25.839
2013,5,6,2013-05-06,23.629
2013,5,7,2013-05-07,20.665
2013,5,8,2013-05-08,20.521
2013,5,9,2013-05-09,23.088
2013,5,10,2013-05-10,22.027
2013,5,11,2013-05-11,24.652
2013,5,12,2013-05-12,26.561
2013,5,13,2013-05-13,29.008
2013,5,14,2013-05-14,26.614
2013,5,15,2013-05-15,23.727
2013,5,16,2013-05-16,21.955
2013,5,17,2013-05-17,31.321
2013,5,18,2013-05-18,23.904
2013,5,19,2013-05-19,20.94
2013,5,20,2013-05-20,22.879
2013,5,21,2013-05-21,27.613
2013,5,22,2013-05-22,26.159
2013,5,23,2013-05-23,27.307
2013,5,24,2013-05-24,25.026
2013,5,25,2013-05-25,22.717
2013,5,26,2013-05-26,27.966
2013,5,27,2013-05-27,28.486
2013,5,28,2013-05-28,23.078
2013,5,29,2013-05-29,34.856
2013,5,30,2013-05-30,26.642
2013,5,31,2013-05-31,26.478
2013,6,1,2013-06-01,24.632
2013,6,2,2013-06-02,23.793
2013,6,3,2013-06-03,25.799
2013,6,4,2013-06-04,26.008
2013,6,5,2013-06-05,22.347
2013,6,6,2013-06-06,23.831
2013,6,7,2013-06-07,22.072
2013,6,8,2013-06-08,29.702
2013,6,9,2013-06-09,26.104
2013,6,10,2013-06-10,26.303
2013,6,11,2013-06-11,23.451
2013,6,12,2013-06-12,26.074
2013,6,13,2013-06-13,22.881
2013,6,14,2013-06-14,22.367
2013,6,15,2013-06-15,26.73
2013,6,16,2013-06-16,27.298
2013,6,17,2013-06-17,31.874
2013,6,18,2013-06-18,26.579
2013,6,19,2013-06-19,24.795
2013,6,20,2013-06-20,23.083
2013,6,21,2013-06-21,30.558
2013,6,22,2013-06-22,25.752
2013,6,23,2013-06-23,22.07
2013,6,24,2013-06-24,31.723
2013,6,25,2013-06-25,28.107
2013,6,26,2013-06-26,25.662
2013,6,27,2013-06-27,24.503
2013,6,28,2013-06-28,24.607
2013,6,29,2013-06-29,31.536
2013,6,30,2013-06-30,27.448
2013,7,1,2013-07-01,30.823
2013,7,2,2013-07-02,39.66
2013,7,3,2013-07-03,27.714
2013,7,4,2013-07-04,23.096
2013,7,5,2013-07-05,24.783
2013,7,6,2013-07-06,26.973
2013,7,7,2013-07-07,23.589
2013,7,8,2013-07-08,26.627
2013,7,9,2013-07-09,26.936
2013,7,10,2013-07-10,23.081
2013,7,11,2013-07-11,29.606
2013,7,12,2013-07-12,20.846
2013,7,13,2013-07-13,23.718
2013,7,14,2013-07-14,28.894
2013,7,15,2013-07-15,24.181
2013,7,16,2013-07-16,28.705
2013,7,17,2013-07-17,26.723
2013,7,18,2013-07-18,24.643
2013,7,19,2013-07-19,25.203
2013,7,20,2013-07-20,27.815
2013,7,21,2013-07-21,29.418
2013,7,22,2013-07-22,28.873
2013,7,23,2013-07-23,24.548
2013,7,24,2013-07-24,21.975
2013,7,25,2013-07-25,24.105
2013,7,26,2013-07-26,24.52
2013,7,27,2013-07-27,24.916
2013,7,28,2013-07-28,21.614
2013,7,29,2013-07-29,31.599
2013,7,30,2013-07-30,25.272
2013,7,31,2013-07-31,23.021
2013,8,1,2013-08-01,20.031
2013,8,2,2013-08-02,20.211
2013,8,3,2013-08-03,15.401
2013,8,4,2013-08-04,14.883
2013,8,5,2013-08-05,16.348
2013,8,6,2013-08-06,26.016
2013,8,7,2013-08-07,18.851
2013,8,8,2013-08-08,22.307
2013,8,9,2013-08-09,33.296
2013,8,10,2013-08-10,34.61
2013,8,11,2013-08-11,23.326
2013,8,12,2013-08-12,25.161
2013,8,13,2013-08-13,25.982
2013,8,14,2013-08-14,23.871
2013,8,15,2013-08-15,25.263
2013,8,16,2013-08-16,31.843
2013,8,17,2013-08-17,21.209
2013,8,18,2013-08-18,20.824
2013,8,19,2013-08-19,25.622
2013,8,20,2013-08-20,26.491
2013,8,21,2013-08-21,25.669
2013,8,22,2013-08-22,22.047
2013,8,23,2013-08-23,21.073
2013,8,24,2013-08-24,24.326
2013,8,25,2013-08-25,23.738
2013,8,26,2013-08-26,29.232
2013,8,27,2013-08-27,25.813
2013,8,28,2013-08-28,22.364
2013,8,29,2013-08-29,32.229
2013,8,30,2013-08-30,30.168
2013,8,31,2013-08-31,25.522
2013,9,1,2013-09-01,19.367
2013,9,2,2013-09-02,25.476
2013,9,3,2013-09-03,34.771
2013,9,4,2013-09-04,24.554
2013,9,5,2013-09-05,20.929
2013,9,6,2013-09-06,23.136
2013,9,7,2013-09-07,21.419
2013,9,8,2013-09-08,34.05
2013,9,9,2013-09-09,28.162
2013,9,10,2013-09-10,29.55
2013,9,11,2013-09-11,20.901
2013,9,12,2013-09-12,21.459
2013,9,13,2013-09-13,28.598
2013,9,14,2013-09-14,19.735
2013,9,15,2013-09-15,24.934
2013,9,16,2013-09-16,34.479
2013,9,17,2013-09-17,25.302
2013,9,18,2013-09-18,24.998
2013,9,19,2013-09-19,21.7
2013,9,20,2013-09-20,22.609
2013,9,21,2013-09-21,25.709
2013,9,22,2013-09-22,27.221
2013,9,23,2013-09-23,32.178
2013,9,24,2013-09-24,24.922
2013,9,25,2013-09-25,24.867
2013,9,26,2013-09-26,27.236
2013,9,27,2013-09-27,24.311
2013,9,28,2013-09-28,24.756
2013,9,29,2013-09-29,29.613
2013,9,30,2013-09-30,34.435
2013,10,1,2013-10-01,28.338
2013,10,2,2013-10-02,31.246
2013,10,3,2013-10-03,28.963
2013,10,4,2013-10-04,26.959
2013,10,5,2013-10-05,23.465
2013,10,6,2013-10-06,32.025
2013,10,7,2013-10-07,29.788
2013,10,8,2013-10-08,28.056
2013,10,9,2013-10-09,26.319
2013,10,10,2013-10-10,26.117
2013,10,11,2013-10-11,27.847
2013,10,12,2013-10-12,26.737
2013,10,13,2013-10-13,23.416
2013,10,14,2013-10-14,21.523
2013,10,15,2013-10-15,32.594
2013,10,16,2013-10-16,27.019
2013,10,17,2013-10-17,24.229
2013,10,18,2013-10-18,31.822
2013,10,19,2013-10-19,26.844
2013,10,20,2013-10-20,31.061
2013,10,21,2013-10-21,34.783
2013,10,22,2013-10-22,28.855
2013,10,23,2013-10-23,27.061
2013,10,24,2013-10-24,25.125
2013,10,25,2013-10-25,26.443
2013,10,26,2013-10-26,33.799
2013,10,27,2013-10-27,30.627
2013,10,28,2013-10-28,31.031
2013,10,29,2013-10-29,32.108
2013,10,30,2013-10-30,34.058
2013,10,31,2013-10-31,30.543
2013,11,1,2013-11-01,36.365
2013,11,2,2013-11-02,28.481
2013,11,3,2013-11-03,28.512
2013,11,4,2013-11-04,26.828
2013,11,5,2013-11-05,32.855
2013,11,6,2013-11-06,32.828
2013,11,7,2013-11-07,35.045
2013,11,8,2013-11-08,30.362
2013,11,9,2013-11-09,30.335
2013,11,10,2013-11-10,29.151
2013,11,11,2013-11-11,36.385
2013,11,12,2013-11-12,34.039
2013,11,13,2013-11-13,29.685
2013,11,14,2013-11-14,29.969
2013,11,15,2013-11-15,28.01
2013,11,16,2013-11-16,36.724
2013,11,17,2013-11-17,33.537
2013,11,18,2013-11-18,31.167
2013,11,19,2013-11-19,42.955
2013,11,20,2013-11-20,28.38
2013,11,21,2013-11-21,26.989
2013,11,22,2013-11-22,26.972
2013,11,23,2013-11-23,27.768
2013,11,24,2013-11-24,42.305
2013,11,25,2013-11-25,32.791
2013,11,26,2013-11-26,33.316
2013,11,27,2013-11-27,30.973
2013,11,28,2013-11-28,28.957
2013,11,29,2013-11-29,36.502
2013,11,30,2013-11-30,31.297
2013,12,1,2013-12-01,33.211
2013,12,2,2013-12-02,35.906
2013,12,3,2013-12-03,23.693
2013,12,4,2013-12-04,32.705
2013,12,5,2013-12-05,23.547
2013,12,6,2013-12-06,23.184
2013,12,7,2013-12-07,28.636
2013,12,8,2013-12-08,23.319
2013,12,9,2013-12-09,28.521
2013,12,10,2013-12-10,26.93
2013,12,11,2013-12-11,24.398
2013,12,12,2013-12-12,23.58
2013,12,13,2013-12-13,23.575
2013,12,14,2013-12-14,33.925
2013,12,15,2013-12-15,37.916
2013,12,16,2013-12-16,34.813
2013,12,17,2013-12-17,28.057
2013,12,18,2013-12-18,33.142
2013,12,19,2013-12-19,21.992
2013,12,20,2013-12-20,23.965
2013,12,21,2013-12-21,25.408
2013,12,22,2013-12-22,18.78
2013,12,23,2013-12-23,31.24
2013,12,24,2013-12-24,36.607
2013,12,25,2013-12-25,30.834
2013,12,26,2013-12-26,36.08
2013,12,27,2013-12-27,32.61
2013,12,28,2013-12-28,33.488
2013,12,29,2013-12-29,30.057
2013,12,30,2013-12-30,30.062
2013,12,31,2013-12-31,36.447
2014,1,1,2014-01-01,43.137
2014,1,2,2014-01-02,45.662
2014,1,3,2014-01-03,36.59
2014,1,4,2014-01-04,27.137
2014,1,5,2014-01-05,32.449
2014,1,6,2014-01-06,27.742
2014,1,7,2014-01-07,31.44
2014,1,8,2014-01-08,37.338
2014,1,9,2014-01-09,35.152
2014,1,10,2014-01-10,34.353
2014,1,11,2014-01-11,38.862
2014,1,12,2014-01-12,47.125
2014,1,13,2014-01-13,29.305
2014,1,14,2014-01-14,39.886
2014,1,15,2014-01-15,39.164
2014,1,16,2014-01-16,30.469
2014,1,17,2014-01-17,25.088
2014,1,18,2014-01-18,26.736
2014,1,19,2014-01-19,28.02
2014,1,20,2014-01-20,33.381
2014,1,21,2014-01-21,30.181
2014,1,22,2014-01-22,33.366
2014,1,23,2014-01-23,28.632
2014,1,24,2014-01-24,25.86
2014,1,25,2014-01-25,25.369
2014,1,26,2014-01-26,27.027
2014,1,27,2014-01-27,30.627
2014,1,28,2014-01-28,41.172
2014,1,29,2014-01-29,31.496
2014,1,30,2014-01-30,32.152
2014,1,31,2014-01-31,25.206
2014,2,1,2014-02-01,24.236
2014,2,2,2014-02-02,31.959
2014,2,3,2014-02-03,30.301
2014,2,4,2014-02-04,24.994
2014,2,5,2014-02-05,28.494
2014,2,6,2014-02-06,21.26
2014,2,7,2014-02-07,23.371
2014,2,8,2014-02-08,28.435
2014,2,9,2014-02-09,30.737
2014,2,10,2014-02-10,32.293
2014,2,11,2014-02-11,26.343
2014,2,12,2014-02-12,34.368
2014,2,13,2014-02-13,27.666
2014,2,14,2014-02-14,27.593
2014,2,15,2014-02-15,30.973
2014,2,16,2014-02-16,32.793
2014,2,17,2014-02-17,34.09
2014,2,18,2014-02-18,29.681
2014,2,19,2014-02-19,26.471
2014,2,20,2014-02-20,30.061
2014,2,21,2014-02-21,27.373
2014,2,22,2014-02-22,28.73
2014,2,23,2014-02-23,28.717
2014,2,24,2014-02-24,30.818
2014,2,25,2014-02-25,28.567
2014,2,26,2014-02-26,22.89
2014,2,27,2014-02-27,23.198
2014,2,28,2014-02-28,25.748
2014,3,1,2014-03-01,22.843
2014,3,2,2014-03-02,34.934
2014,3,3,2014-03-03,30.215
2014,3,4,2014-03-04,31.08
2014,3,5,2014-03-05,23.826
2014,3,6,2014-03-06,29.996
2014,3,7,2014-03-07,33.565
2014,3,8,2014-03-08,34.373
2014,3,9,2014-03-09,41.482
2014,3,10,2014-03-10,34.041
2014,3,11,2014-03-11,25.986
2014,3,12,2014-03-12,24.604
2014,3,13,2014-03-13,25.398
2014,3,14,2014-03-14,31.383
2014,3,15,2014-03-15,26.862
2014,3,16,2014-03-16,38.336
2014,3,17,2014-03-17,34.085
2014,3,18,2014-03-18,26.774
2014,3,19,2014-03-19,32.826
2014,3,20,2014-03-20,30.022
2014,3,21,2014-03-21,24.98
2014,3,22,2014-03-22,29.035
2014,3,23,2014-03-23,33.229
2014,3,24,2014-03-24,30.697
2014,3,25,2014-03-25,27.791
2014,3,26,2014-03-26,43.721
2014,3,27,2014-03-27,29.937
2014,3,28,2014-03-28,33.303
2014,3,29,2014-03-29,35.187
2014,3,30,2014-03-30,35.932
2014,3,31,2014-03-31,30.445
2014,4,1,2014-04-01,19.342
